Company Name,Industry,Symbol,Series
RattanIndia Enterprises Ltd.,Consumer Services,RTNINDIA.NS,EQ
Raymond Ltd.,Realty,RAYMOND.NS,EQ
Redington Ltd.,Services,REDINGTON.NS,EQ
Route Mobile Ltd.,Telecommunication,ROUTE.NS,EQ
SBFC Finance Ltd.,Financial Services,SBFC.NS,EQ
Sammaan Capital Ltd.,Financial Services,SAMMAANCAP.NS,EQ
Sanofi India Ltd.,Healthcare,SANOFI.NS,EQ
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE.NS,EQ
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA.NS,EQ
Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER.NS,EQ
Shipping Corporation of India Ltd.,Services,SCI.NS,EQ
Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA.NS,EQ
Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL.NS,EQ
Signatureglobal (India) Ltd.,Realty,SIGNATURE.NS,EQ
Sobha Ltd.,Realty,SOBHA.NS,EQ
Sonata Software Ltd.,Information Technology,SONATSOFTW.NS,EQ
Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR.NS,EQ
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM.NS,EQ
Sun Pharma Advanced Research Company Ltd.,Healthcare,SPARC.NS,EQ
Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR.NS,EQ
Swan Energy Ltd.,Diversified,SWANENERGY.NS,EQ
Syrma SGS Technology Ltd.,Capital Goods,SYRMA.NS,EQ
TBO Tek Ltd.,Consumer Services,TBOTEK.NS,EQ
TVS Supply Chain Solutions Ltd.,Services,TVSSCS.NS,EQ
Tanla Platforms Ltd.,Information Technology,TANLA.NS,EQ
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML.NS,EQ
Techno Electric & Engineering Company Ltd.,Construction,TECHNOE.NS,EQ
Tejas Networks Ltd.,Telecommunication,TEJASNET.NS,EQ
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM.NS,EQ
Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH.NS,EQ
Trident Ltd.,Textiles,TRIDENT.NS,EQ
Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI.NS,EQ
Triveni Turbine Ltd.,Capital Goods,TRITURBINE.NS,EQ
UCO Bank,Financial Services,UCOBANK.NS,EQ
UTI Asset Management Company Ltd.,Financial Services,UTIAMC.NS,EQ
Ujjivan Small Finance Bank Ltd.,Financial Services,UJJIVANSFB.NS,EQ
Usha Martin Ltd.,Capital Goods,USHAMART.NS,EQ
V-Guard Industries Ltd.,Consumer Durables,VGUARD.NS,EQ
V.I.P. Industries Ltd.,Consumer Durables,VIPIND.NS,EQ
Valor Estate Ltd.,Realty,DBREALTY.NS,EQ
Vardhman Textiles Ltd.,Textiles,VTL.NS,EQ
Varroc Engineering Ltd.,Automobile and Auto Components,VARROC.NS,EQ
Vedant Fashions Ltd.,Consumer Services,MANYAVAR.NS,EQ
Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA.NS,EQ
Vinati Organics Ltd.,Chemicals,VINATIORGA.NS,EQ
Welspun Corp Ltd.,Capital Goods,WELCORP.NS,EQ
Welspun Living Ltd.,Textiles,WELSPUNLIV.NS,EQ
Westlife Foodworld Ltd.,Consumer Services,WESTLIFE.NS,EQ
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL.NS,EQ
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL.NS,EQ
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH.NS,EQ
eClerx Services Ltd.,Services,ECLERX.NS,EQ
