,Date,dma_ml,rf_ta,hmm,ff_ta,impulse,ta_50,kalman_filter
320,15-06-2021,1,1,1,1,0,1,1
321,16-06-2021,1,1,1,1,0,1,1
322,17-06-2021,1,1,1,1,0,1,1
323,18-06-2021,1,1,1,1,0,1,1
324,21-06-2021,1,1,1,1,0,1,1
325,22-06-2021,1,1,1,1,0,1,1
326,23-06-2021,1,1,1,1,-1,1,1
327,24-06-2021,-1,1,1,1,1,1,1
328,25-06-2021,1,1,1,1,1,1,1
329,28-06-2021,1,1,1,-1,1,1,1
330,29-06-2021,1,1,1,-1,0,1,1
331,30-06-2021,1,1,1,-1,-1,1,1
332,01-07-2021,-1,0,1,-1,-1,1,-1
333,02-07-2021,-1,0,1,-1,0,1,-1
334,05-07-2021,1,0,1,-1,1,1,-1
335,06-07-2021,1,1,1,-1,1,1,-1
336,07-07-2021,1,1,1,-1,1,1,-1
337,08-07-2021,1,1,1,-1,-1,1,-1
338,09-07-2021,1,0,1,-1,-1,1,-1
339,12-07-2021,1,0,1,-1,-1,1,-1
340,13-07-2021,1,1,1,-1,1,1,-1
341,14-07-2021,1,1,1,-1,1,1,-1
342,15-07-2021,1,1,1,-1,1,1,-1
343,16-07-2021,1,1,1,-1,1,1,-1
344,19-07-2021,1,1,1,-1,-1,1,-1
345,20-07-2021,-1,1,1,-1,-1,1,-1
346,22-07-2021,1,1,1,-1,1,1,-1
347,23-07-2021,1,1,1,-1,1,1,-1
348,26-07-2021,-1,1,1,-1,1,1,-1
349,27-07-2021,-1,0,1,-1,-1,1,-1
350,28-07-2021,-1,0,1,-1,-1,1,-1
351,29-07-2021,-1,1,1,-1,0,1,-1
352,30-07-2021,-1,1,1,-1,0,1,-1
353,02-08-2021,1,1,1,-1,1,1,-1
354,03-08-2021,1,1,1,-1,1,1,1
355,04-08-2021,1,1,1,-1,1,1,-1
356,05-08-2021,1,1,1,-1,1,1,-1
357,06-08-2021,1,1,1,1,1,1,1
358,09-08-2021,1,1,1,1,0,1,1
359,10-08-2021,1,1,1,1,0,1,1
360,11-08-2021,1,1,1,1,0,1,1
361,12-08-2021,1,1,1,1,0,1,1
362,13-08-2021,1,1,1,1,1,1,1
363,16-08-2021,1,1,1,1,1,1,1
364,17-08-2021,1,1,1,1,1,1,1
365,18-08-2021,1,1,1,1,0,1,1
366,20-08-2021,1,1,1,1,0,1,1
367,23-08-2021,-1,1,1,1,0,1,1
368,24-08-2021,-1,1,1,1,0,1,1
369,25-08-2021,-1,1,1,-1,0,1,1
370,26-08-2021,-1,1,1,-1,0,1,1
371,27-08-2021,1,1,1,-1,0,1,1
372,30-08-2021,1,1,1,1,1,1,1
373,31-08-2021,1,1,1,1,1,1,1
374,01-09-2021,1,1,1,1,1,1,1
375,02-09-2021,1,1,1,1,1,1,1
376,03-09-2021,1,1,1,1,1,1,1
377,06-09-2021,1,1,1,1,1,1,1
378,07-09-2021,1,1,1,1,0,1,1
379,08-09-2021,1,1,1,1,0,1,1
380,09-09-2021,1,1,1,1,0,1,1
381,13-09-2021,1,1,1,1,0,1,1
382,14-09-2021,1,1,1,1,0,1,1
383,15-09-2021,1,1,1,1,0,1,1
384,16-09-2021,1,1,1,1,1,1,1
385,17-09-2021,1,1,1,1,0,1,1
386,20-09-2021,1,1,1,1,0,1,1
387,21-09-2021,1,1,1,1,0,1,1
388,22-09-2021,1,1,1,1,0,1,1
389,23-09-2021,1,1,1,1,1,1,1
390,24-09-2021,1,1,1,1,1,1,1
391,27-09-2021,1,1,1,1,1,1,1
392,28-09-2021,1,1,1,1,0,1,1
393,29-09-2021,1,1,1,1,0,1,1
394,30-09-2021,-1,1,1,-1,0,1,1
395,01-10-2021,-1,1,1,1,-1,1,1
396,04-10-2021,1,1,1,1,0,1,1
397,05-10-2021,1,1,1,-1,1,1,1
398,06-10-2021,-1,1,1,1,0,1,1
399,07-10-2021,1,1,1,-1,1,1,1
400,08-10-2021,1,1,1,-1,1,1,1
401,11-10-2021,1,1,1,1,1,1,1
402,12-10-2021,1,1,1,1,1,1,1
403,13-10-2021,1,1,1,1,1,1,1
