Scrip Code,Company,LTP,Change Val,Pts Contribution
520111,RATNAMANI,2065.25,-0.5,-0.01
530007,JKTYRE,144.2,-0.05,-0.01
533080,MOLDTKPAC,519.95,-0.35,-0.01
504112,NELCO,380.25,-0.3,-0.01
533400,FCONSUMER,9.12,-0.01,-0.01
526650,TFCILTD,76.45,-0.1,-0.01
539678,QUICKHEAL,308.45,-0.4,-0.01
538635,SNOWMAN,52.95,-0.1,-0.01
532390,TAJGVK,136,-0.3,-0.01
524075,ALBERTDA,541.3,-1.4,-0.01
532864,NELCAST,87.85,-0.25,-0.01
511766,MUTHTFN,412,-1.35,-0.01
532679,SORILINFRA,141.6,-0.5,-0.01
534369,TBZ,81.55,-0.4,-0.01
542752,AFFLE,4387.6,-1.85,-0.02
541336,INDOSTAR,341.7,-0.25,-0.02
543213,ROSSARI,1168.35,-1.1,-0.02
500268,MANALIPETC,82.45,-0.1,-0.02
538666,SHARDACROP,359.1,-0.5,-0.02
539450,SHK,168.2,-0.3,-0.02
532515,TVTODAY,299.45,-0.55,-0.02
526521,SANGHIIND,60,-0.15,-0.02
507526,ASALCBR,473.85,-1.35,-0.02
517206,LUMAXIND,1503.05,-4.65,-0.02
502330,ANDHRAPAP,252.15,-1.05,-0.02
532888,ASIANTILES,182.6,-0.8,-0.02
523756,SREINFRA,12.9,-0.07,-0.02
543240,LIKHITHA,421.75,-2.35,-0.02
523838,SIMPLEXINF,50.65,-0.3,-0.02
532189,ITDC,395.9,-2.55,-0.02
520043,MUNJALSHOW,150,-1,-0.02
542852,VISHWARAJ,142.85,-0.95,-0.02
540798,FSC,91.1,-0.9,-0.02
516082,NRAGRINDQ,249.7,-2.5,-0.02
519307,VIKASWSP,5.93,-0.07,-0.02
540879,APOLLO,121.55,-1.6,-0.02
532785,RUCHIRA,97.75,-1.65,-0.02
526797,GREENPLY,199.25,-0.3,-0.03
500219,JISLJALEQS,33.85,-0.05,-0.03
522215,HLEGLAS,3462.6,-5.4,-0.03
520113,VESUVIUS,1175.2,-2.2,-0.03
504966,TINPLATE,248.95,-0.75,-0.03
