time,open,high,low,close,"COPPER1!, MCX: Open","COPPER1!, MCX: High","COPPER1!, MCX: Low","COPPER1!, MCX: Close",Volume,Volume MA
1578887100,12296.7,12337.75,12285.8,12329.55,447.05,451.45,447.05,450.85,NaN,NaN
1578973500,12333.1,12374.25,12308.7,12362.3,450.8,459.4,449.8,453.85,NaN,NaN
1579059900,12349.4,12355.15,12278.75,12343.3,452.95,455.9,450.5,455.25,NaN,NaN
1579146300,12347.1,12389.05,12315.8,12355.5,454.25,456.7,451.25,452.25,NaN,NaN
1579232700,12328.4,12385.45,12321.4,12352.35,452.25,455.5,452.25,454.6,NaN,NaN
1579491900,12430.5,12430.5,12216.9,12224.55,455.7,456.55,454.6,455.45,NaN,NaN
1579578300,12195.3,12230.05,12162.3,12169.85,454.25,454.25,450.2,452.55,NaN,NaN
1579664700,12218.35,12225.05,12087.9,12106.9,452.85,454.2,450.85,452.35,NaN,NaN
1579751100,12123.75,12189,12094.1,12180.35,452.2,452.75,445.2,445.7,NaN,NaN
1579837500,12174.55,12272.15,12149.65,12248.25,445.15,446.1,437.4,438.65,NaN,NaN
1580096700,12197.1,12216.6,12107,12119,436.5,436.5,426.8,427.95,NaN,NaN
1580183100,12148.1,12163.55,12024.5,12055.8,427.15,436.9,426.45,432.85,NaN,NaN
1580269500,12114.9,12169.6,12103.8,12129.5,434.4,434.9,429.1,429.4,NaN,NaN
1580355900,12147.75,12150.3,12010.6,12035.8,428.75,429.35,425.9,426.5,NaN,NaN
1580442300,12100.4,12103.55,11945.85,11962.1,427.9,429.4,426.15,427.25,NaN,NaN
1580528700,11939,12017.35,11633.3,11661.85,NaN,NaN,NaN,NaN,NaN,NaN
1580701500,11627.45,11749.85,11614.5,11707.9,427.7,430.2,420.6,421.75,NaN,NaN
1580787900,11786.25,11986.15,11783.4,11979.65,424.7,429.8,424.7,428.6,NaN,NaN
1580874300,12005.85,12098.15,11953.35,12089.15,429.5,436.4,429.5,434.5,NaN,NaN
1580960700,12120,12160.6,12084.65,12137.95,435.5,439.45,433.4,435.5,NaN,NaN
1581047100,12151.15,12154.7,12073.95,12098.35,433.5,434.95,430.35,430.9,NaN,NaN
1581306300,12102.35,12103.55,11990.75,12031.5,432.9,433,428.3,429.05,NaN,NaN
1581392700,12108.4,12172.3,12099,12107.9,431.2,434.9,431.2,433.75,NaN,NaN
1581479100,12151,12231.75,12144.3,12201.2,434.75,435.6,433.25,435.25,NaN,NaN
1581565500,12219.55,12225.65,12139.8,12174.65,434.6,436,432.2,435.6,NaN,NaN
1581651900,12190.15,12246.7,12091.2,12113.45,435,435.6,433.3,433.95,NaN,NaN
1581911100,12131.8,12159.6,12037,12045.8,436.35,436.85,434.8,435.4,NaN,NaN
1581997500,12028.25,12030.75,11908.05,11992.5,434.2,434.35,430.55,431.6,NaN,NaN
1582083900,12090.6,12134.7,12042.1,12125.9,432,433.95,428.5,431.3,NaN,NaN
1582170300,12119,12152,12071.45,12080.85,431.3,431.85,429.1,430.15,NaN,NaN
1582515900,12012.55,12012.55,11813.4,11829.4,432.75,433.3,426.55,427.45,NaN,NaN
1582602300,11877.5,11883.05,11779.9,11797.9,427.4,430.3,420.7,427.85,NaN,NaN
1582688700,11738.55,11783.25,11639.6,11678.5,428,428,421.15,425.1,NaN,NaN
1582775100,11661.25,11663.85,11536.7,11633.3,425,425,416.5,422.45,NaN,NaN
1582861500,11382,11384.8,11175.05,11201.75,419.85,424.15,415.3,421.85,NaN,NaN
1583120700,11387.35,11433,11036.25,11132.75,424.8,429.5,422,429,NaN,NaN
1583207100,11217.55,11342.25,11152.55,11303.3,428.9,431.95,422.4,425.65,NaN,NaN
1583293500,11351.35,11356.6,11082.15,11251,427,429.9,426.6,428.55,NaN,NaN
1583379900,11306.05,11389.5,11244.6,11269,430.05,431.8,427.2,431,NaN,NaN
1583466300,10942.65,11035.1,10827.4,10989.45,429.15,434,428.3,433.55,NaN,NaN
1583725500,10742.05,10751.55,10294.45,10451.45,430,430,418.3,428.35,NaN,NaN
1583898300,10334.3,10545.1,10334,10458.4,430,430,424.05,425.5,NaN,NaN
1583984700,10039.95,10040.75,9508,9590.1504,422.5,424.4,415.65,422.1,NaN,NaN
1584071100,9107.5996,10159.4,8555.1504,9955.2002,415.65,427.7,413.65,421.8,NaN,NaN
1584330300,9587.7998,9602.2002,9165.0996,9197.4004,419.15,419.15,404.4,412.45,NaN,NaN
1584416700,9285.4004,9403.7998,8915.5996,8967.0498,413.6,414.05,406.2,408.1,NaN,NaN
1584503100,9088.4502,9127.5498,8407.0498,8468.7998,409,409.4,379.7,381.75,NaN,NaN
1584589500,8063.2998,8575.4502,7832.5498,8263.4502,366.5,378.55,335.95,374.8,NaN,NaN
1584675900,8284.4502,8883,8178.2002,8745.4502,369,387,363.25,372.75,NaN,NaN
1584935100,7945.7002,8159.25,7583.6001,7610.25,359.3,364,352.05,360.45,NaN,NaN
1585021500,7848.2998,8036.9502,7511.1001,7801.0498,362.65,369.9,361.7,367.75,NaN,NaN
1585107900,7735.1499,8376.75,7714.75,8317.8496,371.6,378,370.85,376.75,NaN,NaN
1585194300,8451,8749.0498,8304.9004,8641.4502,375.05,376,371.2,374.95,NaN,NaN
1585280700,8949.0996,9038.9004,8522.9004,8660.25,376.95,378.7,374.1,375.25,NaN,NaN
1585539900,8385.9502,8576,8244,8281.0996,370.7,374.55,370.3,372.25,NaN,NaN
1585626300,8529.3496,8678.2998,8358,8597.75,375,381,375,377.55,NaN,NaN
1585712700,8584.0996,8588.0996,8198.3496,8253.7998,381,382.5,374.65,376.5,NaN,NaN
1585885500,8356.5498,8356.5498,8055.7998,8083.7998,380.8,381,376.55,380.1,NaN,NaN
1586231100,8446.2998,8819.4004,8360.9502,8792.2002,384.35,393.6,384.35,392,NaN,NaN
1586317500,8688.9004,9131.7002,8653.9004,8748.75,388.7,389.8,387.1,388.85,NaN,NaN
1586403900,8973.0498,9128.3496,8904.5498,9111.9004,392.75,392.8,390.1,391.85,NaN,NaN
1586749500,9103.9502,9112.0498,8912.4004,8993.8496,397,400.75,396.95,400.15,NaN,NaN
1586922300,9196.4004,9261.2002,8874.0996,8925.2998,399.1,399.2,392.85,393.75,NaN,NaN
1587008700,8851.25,9053.75,8821.9004,8992.7998,394.85,398.65,394.85,397.95,NaN,NaN
1587095100,9323.4502,9324,9091.3496,9266.75,402,404.4,401.6,402.5,NaN,NaN
1587354300,9390.2002,9390.8496,9230.7998,9261.8496,405.5,405.95,400.05,400.95,NaN,NaN
1587440700,9016.9502,9044.4004,8909.4004,8981.4502,395.25,395.25,376.9,383.05,NaN,NaN
1587527100,9026.75,9209.75,8946.25,9187.2998,384,406,373.7,394.95,NaN,NaN
1587613500,9232.3496,9343.5996,9170.1504,9313.9004,395.1,401.5,395.1,398.6,NaN,NaN
1587699900,9163.9004,9296.9004,9141.2998,9154.4004,401,408,399.25,405.75,NaN,NaN
1587959100,9259.7002,9377.0996,9250.3496,9282.2998,408.6,411.5,402.7,405.95,NaN,NaN
1588045500,9389.7998,9404.4004,9260,9380.9004,403.95,408.5,402.8,407.7,NaN,NaN
1588131900,9408.5996,9599.8496,9392.3496,9553.3496,407.5,409.8,406.4,408,NaN,NaN
1588218300,9753.5,9889.0498,9731.5,9859.9004,409,409.25,402.1,403.45,NaN,NaN
1588563900,9533.5,9533.5,9266.9502,9293.5,398.55,399.5,395.3,398.25,NaN,NaN
1588650300,9429.4004,9450.9004,9190.75,9205.5996,401.65,403.1,397.3,402.3,NaN,NaN
1588736700,9226.7998,9346.9004,9116.5,9270.9004,403.35,404.95,402.5,404.3,NaN,NaN
1588823100,9234.0498,9277.8496,9175.9004,9199.0498,404.1,407.35,403.15,406.8,NaN,NaN
1588909500,9376.9502,9382.6504,9238.2002,9251.5,408,409.7,407.05,407.65,NaN,NaN
1589168700,9348.1504,9439.9004,9219.9502,9239.2002,408.8,409.65,405.5,406.7,NaN,NaN
1589255100,9168.8496,9240.8496,9043.9502,9196.5498,406.65,407.15,401.2,401.75,NaN,NaN
1589341500,9584.2002,9584.5,9351.0996,9383.5498,401.65,404.7,398.3,401.65,NaN,NaN
1589427900,9213.9502,9281.0996,9119.75,9142.75,401.65,403.15,398.6,402.25,NaN,NaN
1589514300,9182.4004,9182.4004,9050,9136.8496,403,404.85,400.45,401.05,NaN,NaN
1589773500,9158.2998,9158.2998,8806.75,8823.25,404.3,412.2,404,410.8,NaN,NaN
1589859900,8961.7002,9030.3496,8855.2998,8879.0996,410.25,413.3,409.1,411.15,NaN,NaN
1589946300,8889.1504,9093.7998,8875.3496,9066.5498,411,417.2,410.4,416.55,NaN,NaN
1590032700,9079.4502,9178.5498,9056.0996,9106.25,415,418.25,411.2,411.75,NaN,NaN
1590119100,9067.9004,9149.5996,8968.5498,9039.25,413.9,413.9,410.2,412.45,NaN,NaN
1590464700,9099.75,9161.6504,8996.6504,9029.0498,414.8,417.25,414.45,415.55,NaN,NaN
1590551100,9082.2002,9334,9004.25,9314.9502,412.55,415,409.35,411.45,NaN,NaN
1590637500,9364.9502,9511.25,9336.5,9490.0996,413.3,416.4,410.7,415.75,NaN,NaN
1590723900,9422.2002,9598.8496,9376.9004,9580.2998,413.25,416.9,412.5,416.2,NaN,NaN
1590983100,9726.8496,9931.5996,9706.9502,9826.1504,417,422.85,416.25,422.4,NaN,NaN
1591069500,9880.8496,9995.5996,9824.0498,9979.0996,420.35,423.4,420.15,422.8,NaN,NaN
1591155900,10108.3,10176.2,10035.55,10061.55,421.7,424.8,420.5,423.2,NaN,NaN
1591242300,10054.25,10123.85,9944.25,10029.1,421.35,424.5,419.6,423.65,NaN,NaN
1591328700,10093.8,10177.8,10040.75,10142.15,423.25,435.5,423,433.5,NaN,NaN
1591587900,10326.75,10328.5,10120.25,10167.45,431.6,436.8,431.2,435.75,NaN,NaN
1591674300,10181.15,10291.15,10021.45,10046.65,436.8,440.1,435.1,439.7,NaN,NaN
1591760700,10072.6,10148.75,10036.85,10116.15,440,451.2,440,450.65,NaN,NaN
1591847100,10094.1,10112.05,9885.0498,9902,447.7,449.2,441.55,442.05,NaN,NaN
1591933500,9544.9502,9996.0498,9544.3496,9972.9004,442.55,445.9,440.5,443.3,NaN,NaN
