Date,Open,High,Low,Close
25-11-2016,17.16,18.870001,16.870001,17.612499
28-11-2016,17.612499,18.6075,16.817499,18.055
29-11-2016,18.055,18.215,16.514999,17.7075
30-11-2016,17.7075,17.9925,16.040001,16.85
01-12-2016,16.85,16.889999,14.335,16.6875
02-12-2016,16.6875,18.190001,15.8275,17.932501
05-12-2016,17.932501,18.295,16.92,17.2875
06-12-2016,17.2875,17.355,14.9625,17.105
07-12-2016,17.105,17.110001,15.5075,16.844999
08-12-2016,16.844999,16.844999,14.1625,15.525
09-12-2016,15.525,15.6375,14.5325,15.0675
12-12-2016,15.0675,16.3125,14.215,16.192499
13-12-2016,16.192499,16.4825,13.755,15.9225
14-12-2016,15.9225,16.672501,14.43,16.592501
15-12-2016,16.592501,16.592501,15.255,15.655
16-12-2016,15.655,15.655,13.445,15.2525
19-12-2016,15.2525,15.585,13.2525,14.8375
20-12-2016,14.8375,14.9275,13.4025,14.5375
21-12-2016,14.5375,14.8575,13.335,14.705
22-12-2016,14.705,15.7025,12.7625,15.5525
23-12-2016,15.5525,15.78,12.6125,15.1275
26-12-2016,15.1275,16.905001,13.435,16.602501
27-12-2016,16.602501,16.762501,14.9475,15.0825
28-12-2016,15.0825,15.6275,14.2625,15.5425
29-12-2016,15.5425,16.077499,14.6575,15.2825
30-12-2016,15.2825,15.575,14.5325,15.465
02-01-2017,15.465,16.375,14.64,15.83
03-01-2017,15.83,16.4175,14.9025,15.9575
04-01-2017,15.9575,16.1,14.8975,15.89
05-01-2017,15.89,15.89,14.4475,15.05
06-01-2017,15.05,15.0875,13.9225,14.9125
09-01-2017,14.9125,15.635,13.82,15.48
10-01-2017,15.48,15.48,14.025,15.195
11-01-2017,15.195,15.195,13.5375,14.8075
12-01-2017,14.8075,14.865,13.4625,14.6125
13-01-2017,14.6125,14.6525,13.375,14.3825
16-01-2017,14.3825,15.25,13.425,15.065
17-01-2017,15.065,15.62,13.98,15.3925
18-01-2017,15.3925,15.3925,13.6125,15.1825
19-01-2017,15.1825,15.2775,14.035,15.02
20-01-2017,15.02,15.8675,13.8525,15.79
23-01-2017,15.79,16.372499,15.5025,15.905
24-01-2017,15.905,15.96,14.3875,15.285
25-01-2017,15.285,15.425,14.41,15.17
27-01-2017,15.17,16.125,14.93,16.004999
30-01-2017,16.004999,16.8575,15.3925,16.67
31-01-2017,16.67,17.09,15.7125,16.825001
01-02-2017,16.825001,17.4275,13.8025,13.97
02-02-2017,13.97,13.97,12.64,13.52
03-02-2017,13.52,13.595,11.7825,13.1275
06-02-2017,13.1275,13.6125,11.06,13.3975
07-02-2017,13.3975,13.7225,12.24,13.5075
08-02-2017,13.5075,13.7575,11.435,13.35
09-02-2017,13.35,13.78,11.395,13.235
10-02-2017,13.235,13.3325,11.37,13.1775
13-02-2017,13.1775,13.76,11.57,13.6925
14-02-2017,13.6925,14.01,12.0975,13.8025
15-02-2017,13.8025,14.46,11.7275,14.2125
16-02-2017,14.2125,14.2125,11.4375,13.73
17-02-2017,13.73,13.7725,12.4675,13.4325
20-02-2017,13.4325,13.8475,12.4125,13.61
21-02-2017,13.61,14.2825,11.8925,13.525
22-02-2017,13.525,14.0425,12.7225,13.7
23-02-2017,13.7,13.96,12.915,13.4
27-02-2017,13.4,14.2725,13.4,13.675
28-02-2017,13.675,14.025,13.1675,13.7925
01-03-2017,13.7925,13.7975,13.2075,13.575
02-03-2017,13.575,13.615,13.03,13.3625
03-03-2017,13.3625,13.6025,12.5675,13.3525
06-03-2017,13.3525,13.725,12.81,13.64
07-03-2017,13.64,14.0075,13.09,13.875
08-03-2017,13.875,14.2875,12.6875,14.075
09-03-2017,14.075,14.7825,12.6025,14.39
10-03-2017,14.39,14.39,13.575,13.9575
14-03-2017,13.9575,13.9575,11.085,12.4
15-03-2017,12.4,12.5325,11.2025,12.4225
16-03-2017,12.4225,12.4225,11.3425,11.91
17-03-2017,11.91,12.1125,10.3875,11.8525
20-03-2017,11.8525,12.31,11.44,12.0175
21-03-2017,12.0175,12.155,11.0325,11.9425
22-03-2017,11.9425,12.3575,11.5825,12.27
23-03-2017,12.27,12.27,11.2375,11.835
24-03-2017,11.835,12.1025,10.705,11.9775
27-03-2017,11.9775,12.57,11.3375,12.435
28-03-2017,12.435,12.435,11.46,12.1175
29-03-2017,12.1175,12.24,11.45,12.0875
30-03-2017,12.0875,12.45,11.75,12.15
31-03-2017,12.15,12.5125,11.4875,12.42
03-04-2017,12.42,12.7575,11.41,11.4925
05-04-2017,11.4925,11.8875,10.89,11.55
06-04-2017,11.55,11.7675,11.0325,11.29
07-04-2017,11.29,11.8125,10.305,11.6925
10-04-2017,11.6925,11.9225,11.2425,11.62
11-04-2017,11.62,11.8325,10.2375,11.395
