time,open,high,low,close,Volume,Volume MA
1541561400,38250,38328,38175,38287,3270,21926.35
1541734200,37590,37644,36700,36915,22490,22107.6
1541993400,36920,37180,36700,36726,16641,21351.05
1542079800,36735,36810,36383,36416,20151,21296.3
1542166200,36316,36575,36055,36518,19118,21082.1
1542252600,36571,36778,36453,36707,18291,20874.6
1542339000,36580,37150,36580,37023,19758,20884.55
1542598200,37020,37116,36801,36891,13890,20679.15
1542684600,36811,37049,36515,36626,18988,20704.7
1542771000,36620,37047,36553,36953,17333,20189.4
1542857400,36999,37020,36573,36610,13068,19849.35
1543203000,36969,37338,36910,36922,3790,18991.5
1543289400,36980,37087,36626,36666,5823,17988.7
1543375800,36700,37138,36565,37006,6798,16859.8
1543462200,37000,37000,36451,36513,8840,16309.7
1543548600,36500,36700,35924,36068,20198,16225.65
1543807800,36240,37428,36240,37141,33173,16210.3
1543894200,37164,37719,37164,37513,23276,15939.65
1543980600,37400,37480,37135,37455,16146,15905.9
1544067000,37429,37555,37102,37252,19873,16045.75
1544153400,37299,38040,37216,38003,22196,16992.05
1544412600,38000,38498,37740,38405,26291,17182.1
1544499000,38380,38700,38112,38361,24903,17595.2
1544585400,38393,38640,38180,38597,20849,17630.1
1544671800,38500,38545,38251,38386,19375,17642.95
1544758200,38300,38330,38015,38084,17436,17600.2
1545017400,38030,38234,37909,38192,14679,17346.25
1545103800,38210,38210,37436,37480,20814,17692.45
1545190200,37430,37856,37392,37707,16694,17577.75
1545276600,37673,37680,37225,37548,24279,17925.05
1545363000,37465,37638,37232,37282,19245,18233.9
1545622200,37425,37620,37337,37573,15303,18809.55
1545795000,37601,38517,37601,38286,26553,19846.05
1545881400,38400,38818,38118,38724,26897,20851
1545967800,38849,38929,38618,38733,19956,21406.8
1546227000,38850,38899,38580,38851,20357,21414.75
1546313400,38830,38850,38701,38814,4192,19965.7
1546399800,38720,39283,38651,39151,28857,20244.75
1546486200,39175,39550,39175,39524,25764,20725.65
1546572600,39580,39690,39151,39213,26659,21064.95
1546831800,39273,39548,39193,39249,20206,20965.45
1546918200,39086,39385,38852,39362,19611,20631.45
1547004600,39341,39663,39254,39536,22129,20492.75
1547091000,39580,39800,39285,39311,20088,20454.7
1547177400,39245,39649,39230,39368,18849,20428.4
1547436600,39300,39585,39250,39572,15033,20308.25
1547523000,39600,39790,39486,39592,21750,20661.8
1547609400,39560,39770,39455,39617,19776,20609.9
1547695800,39650,39700,39369,39426,16872,20618.8
1547782200,39480,39613,39150,39229,21874,20498.55
1548041400,39199,39249,38811,38909,17698,20421.2
1548127800,38900,39168,38780,39102,19882,20650.15
1548214200,39147,39340,38961,39120,18642,20254.6
1548300600,39182,39183,38865,38905,15117,19665.6
