time,open,high,low,close,"IN10Y, TVC: Open","IN10Y, TVC: High","IN10Y, TVC: Low","IN10Y, TVC: Close",Volume,Volume MA
1554263100,11735.3,11761,11629.15,11643.95,7.28000021,7.28800011,7.25500011,7.27099991,NaN,NaN
1554349500,11660.2,11662.55,11559.2,11598,7.27099991,7.34800005,7.22900009,7.34800005,NaN,NaN
1554435900,11638.4,11689.65,11609.5,11665.95,7.35200024,7.36199999,7.31599998,7.35300016,NaN,NaN
1554695100,11704.35,11710.3,11549.1,11604.5,7.37400007,7.41099977,7.37400007,7.4000001,NaN,NaN
1554781500,11612.05,11683.9,11569.7,11671.95,7.41099977,7.41800022,7.37300014,7.37400007,NaN,NaN
1554867900,11646.85,11680.05,11571.75,11584.3,7.36299992,7.37900019,7.35599995,7.3670001,NaN,NaN
1554954300,11592.55,11606.7,11550.55,11596.7,7.38100004,7.38100004,7.36199999,7.37099981,NaN,NaN
1555040700,11612.85,11657.35,11578.8,11643.45,7.3829999,7.40999985,7.38000011,7.40899992,NaN,NaN
1555299900,11667,11704.6,11648.25,11690.35,7.41099977,7.41400003,7.38700008,7.38999987,NaN,NaN
1555386300,11736.2,11810.95,11731.55,11787.15,7.38999987,7.40399981,7.37599993,7.38999987,NaN,NaN
1555559100,11856.15,11856.15,11738.5,11752.8,7.42000008,7.42999983,7.40799999,7.42000008,NaN,NaN
1555904700,11727.05,11727.05,11583.95,11594.45,7.45499992,7.49700022,7.45499992,7.47399998,NaN,NaN
1555991100,11612.95,11645.95,11564.8,11575.95,7.48899984,7.49499989,7.46000004,7.47300005,NaN,NaN
1556077500,11601.5,11740.85,11578.85,11726.15,7.4289999,7.43599987,7.421,7.42399979,NaN,NaN
1556163900,11735.7,11796.75,11624.3,11641.8,7.44099998,7.47700024,7.44099998,7.45100021,NaN,NaN
1556250300,11683.75,11762.9,11661.75,11754.65,7.43599987,7.4460001,7.40500021,7.40799999,NaN,NaN
1556595900,11748.75,11756.25,11655.9,11748.15,7.39499998,7.421,7.38700008,7.41400003,NaN,NaN
1556768700,11725.55,11789.3,11699.55,11724.75,7.41099977,7.41099977,7.38600016,7.38600016,NaN,NaN
1556855100,11722.6,11770.9,11699.35,11712.25,7.37200022,7.40100002,7.36899996,7.3920002,NaN,NaN
1557114300,11605.8,11632.55,11571.35,11598.25,7.40299988,7.40299988,7.36499977,7.39400005,NaN,NaN
1557200700,11651.5,11657.05,11484.45,11497.9,7.41699982,7.42399979,7.38100004,7.38199997,NaN,NaN
1557287100,11478.7,11479.1,11346.95,11359.45,7.3920002,7.3920002,7.36999989,7.375,NaN,NaN
1557373500,11322.4,11357.6,11255.05,11301.8,7.38700008,7.4000001,7.37099981,7.39699984,NaN,NaN
1557459900,11314.15,11345.8,11251.05,11278.9,7.40700006,7.42600012,7.40299988,7.41300011,NaN,NaN
1557719100,11258.7,11300.2,11125.6,11148.2,7.41800022,7.41900015,7.38500023,7.38800001,NaN,NaN
1557805500,11151.65,11294.75,11108.3,11222.05,7.38800001,7.38800001,7.34800005,7.37799978,NaN,NaN
1557891900,11271.7,11286.8,11136.95,11157,7.37900019,7.38399982,7.36000013,7.37900019,NaN,NaN
1557978300,11180.35,11281.55,11143.35,11257.1,7.39400005,7.40199995,7.375,7.37699986,NaN,NaN
1558064700,11261.9,11426.15,11259.85,11407.15,7.39699984,7.39699984,7.36000013,7.36199999,NaN,NaN
1558323900,11651.9,11845.2,11591.7,11828.25,7.28700018,7.30900002,7.2750001,7.28599977,NaN,NaN
1558410300,11863.65,11883.55,11682.8,11709.1,7.29300022,7.3119998,7.29300022,7.30299997,NaN,NaN
1558496700,11727.95,11784.8,11682.4,11737.9,7.30200005,7.30800009,7.26000023,7.26000023,NaN,NaN
1558583100,11901.3,12041.15,11614.5,11657.05,7.23199987,7.24399996,7.19099998,7.23899984,NaN,NaN
1558669500,11748,11859,11658.1,11844.1,7.21999979,7.23899984,7.20300007,7.22599983,NaN,NaN
1558928700,11855.5,11957.15,11812.4,11924.75,7.22599983,7.22599983,7.16200018,7.16699982,NaN,NaN
1559015100,11958.35,11958.55,11864.9,11928.75,7.17700005,7.1789999,7.13500023,7.14900017,NaN,NaN
1559101500,11905.8,11931.9,11836.8,11861.1,7.12699986,7.14300013,7.11600018,7.125,NaN,NaN
1559187900,11865.3,11968.55,11859.4,11945.9,7.13500023,7.13899994,7.12699986,7.1329999,NaN,NaN
1559274300,11999.8,12039.25,11829.45,11922.8,7.07499981,7.07700014,7.03000021,7.03200006,NaN,NaN
1559533500,11953.75,12103.05,11920.1,12088.55,6.94899988,7.00099993,6.94099998,6.98199987,NaN,NaN
1559619900,12052.65,12095.2,12005.85,12021.65,6.97900009,7.02400017,6.97700024,7.02199984,NaN,NaN
1559792700,12039.8,12039.8,11830.25,11843.75,7.01200008,7.01200008,6.87599993,6.93100023,NaN,NaN
1559879100,11865.2,11897.5,11769.5,11870.65,6.95100021,6.98400021,6.94799995,6.97399998,NaN,NaN
1560138300,11934.9,11975.05,11871.75,11922.7,6.98400021,7.08699989,6.9829998,7.07700014,NaN,NaN
1560224700,11959.85,12000.35,11904.35,11965.6,7.08300018,7.09700012,7.03599977,7.03700018,NaN,NaN
1560311100,11962.45,11962.45,11866.35,11906.2,7.02199984,7.0250001,6.99499989,7.01200008,NaN,NaN
1560397500,11873.9,11931.35,11817.05,11914.05,6.98899984,7.02799988,6.96500015,7.00899982,NaN,NaN
1560483900,11910.1,11911.85,11797.7,11823.3,6.99300003,6.99700022,6.91400003,6.91900015,NaN,NaN
1560743100,11844,11844.05,11657.75,11672.15,6.92999983,6.94700003,6.91499996,6.93100023,NaN,NaN
1560829500,11677.05,11727.2,11641.15,11691.5,6.92000008,6.92000008,6.80800009,6.80800009,NaN,NaN
1560915900,11744.45,11802.5,11625.1,11691.45,6.82999992,6.84899998,6.81699991,6.84100008,NaN,NaN
1561002300,11653.65,11843.5,11635.05,11831.75,6.76900005,6.79099989,6.73400021,6.79099989,NaN,NaN
1561088700,11827.6,11827.95,11705.1,11724.1,6.82499981,6.89300013,6.82499981,6.86100006,NaN,NaN
1561347900,11725.8,11754,11670.2,11699.65,6.84200001,6.8829999,6.81099987,6.85099983,NaN,NaN
1561434300,11681,11814.4,11651,11796.45,6.87099981,6.89599991,6.86499977,6.88199997,NaN,NaN
1561520700,11768.15,11871.85,11757.55,11847.55,6.921,6.94199991,6.91699982,6.93300009,NaN,NaN
1561607100,11860.85,11911.15,11821.05,11841.55,6.95499992,6.95499992,6.88000011,6.89699984,NaN,NaN
1561693500,11861.15,11871.7,11775.5,11788.85,6.88800001,6.9000001,6.86999989,6.87900019,NaN,NaN
1561952700,11839.9,11884.65,11830.8,11865.6,6.90500021,6.92999983,6.88199997,6.88199997,NaN,NaN
1562039100,11890.3,11917.45,11814.7,11910.3,6.86000013,6.87599993,6.829,6.84600019,NaN,NaN
1562125500,11932.15,11945.2,11887.05,11916.75,6.80900002,6.83500004,6.8039999,6.83300018,NaN,NaN
1562211900,11928.8,11969.25,11923.65,11946.75,6.83599997,6.84899998,6.75099993,6.75099993,NaN,NaN
1562298300,11964.75,11981.75,11797.9,11811.15,6.75500011,6.76599979,6.57600021,6.69500017,NaN,NaN
1562557500,11770.4,11771.9,11523.3,11558.6,6.71299982,6.71299982,6.5619998,6.5619998,NaN,NaN
1562643900,11531.6,11582.55,11461,11555.9,6.55499983,6.61000013,6.55499983,6.58799982,NaN,NaN
1562730300,11536.15,11593.7,11475.65,11498.9,6.58799982,6.61000013,6.51599979,6.54300022,NaN,NaN
1562816700,11561.45,11599,11519.5,11582.9,6.55800009,6.5619998,6.48699999,6.49300003,NaN,NaN
1562903100,11601.15,11639.55,11538.6,11552.5,6.52799988,6.54099989,6.45699978,6.48799992,NaN,NaN
1563162300,11614.75,11618.4,11532.3,11588.35,6.45900011,6.46700001,6.42999983,6.43300009,NaN,NaN
1563248700,11596.65,11670.05,11573.95,11662.6,6.41300011,6.41300011,6.31699991,6.33099985,NaN,NaN
1563335100,11670.75,11706.65,11651.15,11687.5,6.28100014,6.41300011,6.26599979,6.34499979,NaN,NaN
1563421500,11675.6,11677.15,11582.4,11596.9,6.30999994,6.40199995,6.30999994,6.38700008,NaN,NaN
1563507900,11627.95,11640.35,11399.3,11419.25,6.3829999,6.38500023,6.34800005,6.36100006,NaN,NaN
1563767100,11392.85,11398.15,11301.25,11346.2,6.42000008,6.45300007,6.40600014,6.41800022,NaN,NaN
1563853500,11372.25,11398.15,11302.8,11331.05,6.42999983,6.47700024,6.40799999,6.46400023,NaN,NaN
1563939900,11322.45,11359.75,11229.8,11271.3,6.47599983,6.47900009,6.42500019,6.4380002,NaN,NaN
1564026300,11290.4,11361.4,11239.35,11252.15,6.44099998,6.55100012,6.42199993,6.51399994,NaN,NaN
1564112700,11247.45,11307.6,11210.05,11284.3,6.53800011,6.55600023,6.50600004,6.5250001,NaN,NaN
1564371900,11307.5,11310.95,11152.4,11189.2,6.45200014,6.46000004,6.41200018,6.41200018,NaN,NaN
1564458300,11213.7,11267.45,11072.65,11085.4,6.41599989,6.4369998,6.37900019,6.38700008,NaN,NaN
1564544700,11034.05,11145.3,10999.4,11118,6.40299988,6.40299988,6.35900021,6.36899996,NaN,NaN
1564631100,11060.2,11076.75,10881,10980,6.39400005,6.43200016,6.38399982,6.42299986,NaN,NaN
1564717500,10930.3,11080.15,10848.95,10997.35,6.32399988,6.36100006,6.32399988,6.35200024,NaN,NaN
1564976700,10895.8,10895.8,10782.6,10862.6,6.3670001,6.42299986,6.36100006,6.38999987,NaN,NaN
1565063100,10815.4,11018.55,10813.8,10948.25,6.36600018,6.38100004,6.32499981,6.33799982,NaN,NaN
1565149500,10958.1,10975.65,10835.9,10855.5,6.31400013,6.39799976,6.296,6.36899996,NaN,NaN
1565235900,10899.2,11058.05,10842.95,11032.45,6.38100004,6.40399981,6.36399984,6.40199995,NaN,NaN
1565322300,11087.9,11181.45,11062.8,11109.65,6.40399981,6.52299976,6.39900017,6.49399996,NaN,NaN
1565667900,11139.4,11145.9,10901.6,10925.85,6.51100016,6.53800011,6.49599981,6.51800013,NaN,NaN
1565754300,11003.25,11078.15,10935.6,11029.4,6.54099989,6.63899994,6.52299976,6.61999989,NaN,NaN
1565927100,11043.65,11068.65,10924.3,11047.8,6.58400011,6.59600019,6.52699995,6.53499985,NaN,NaN
1566186300,11094.8,11146.9,11037.85,11053.9,6.55299997,6.59600019,6.54899979,6.58099985,NaN,NaN
1566272700,11063.9,11076.3,10985.3,11017,6.58400011,6.62699986,6.57200003,6.57800007,NaN,NaN
1566359100,11018.15,11034.2,10906.65,10918.7,6.57200003,6.57499981,6.53399992,6.55999994,NaN,NaN
1566445500,10905.3,10908.25,10718.3,10741.35,6.58199978,6.58199978,6.53100014,6.5539999,NaN,NaN
