time,open,high,low,close,"IN10, TVC: Open","IN10, TVC: High","IN10, TVC: Low","IN10, TVC: Close",Volume,Volume MA
1583898300,10334.3,10545.1,10334,10458.4,102.505,102.505,102.075,102.32,NaN,NaN
1583984700,10039.95,10040.75,9508,9590.1504,102.25,102.25,101.52,101.52,NaN,NaN
1584071100,9107.5996,10159.4,8555.1504,9955.2002,101.25,101.25,100.665,100.9,NaN,NaN
1584330300,9587.7998,9602.2002,9165.0996,9197.4004,101.5,102.333,101.405,101.72,NaN,NaN
1584416700,9285.4004,9403.7998,8915.5996,8967.0498,101.07,101.71,101.07,101.31,NaN,NaN
1584503100,9088.4502,9127.5498,8407.0498,8468.7998,100.8,101.55,100.753,101.09,NaN,NaN
1584589500,8063.2998,8575.4502,7832.5498,8263.4502,100.55,100.8,100,100.28,NaN,NaN
1584675900,8284.4502,8883,8178.2002,8745.4502,100.3,101.66,100.3,101.35,NaN,NaN
1584935100,7945.7002,8159.25,7583.6001,7610.25,101.05,101.4,100.41,100.5,NaN,NaN
1585021500,7848.2998,8036.9502,7511.1001,7801.0498,100.51,101.1,100.51,101.03,NaN,NaN
1585107900,7735.1499,8376.75,7714.75,8317.8496,NaN,NaN,NaN,NaN,NaN,NaN
1585194300,8451,8749.0498,8304.9004,8641.4502,100.5,101.67,100.5,101.6,NaN,NaN
1585280700,8949.0996,9038.9004,8522.9004,8660.25,101.9,103.2,101.9,102.18,NaN,NaN
1585539900,8385.9502,8576,8244,8281.0996,101.85,102.213,101.68,101.71,NaN,NaN
1585626300,8529.3496,8678.2998,8358,8597.75,101.7,102.65,101.7,102.22,NaN,NaN
1585712700,8584.0996,8588.0996,8198.3496,8253.7998,NaN,NaN,NaN,NaN,NaN,NaN
1585885500,8356.5498,8356.5498,8055.7998,8083.7998,101.15,101.3,100.953,101.02,NaN,NaN
1586231100,8446.2998,8819.4004,8360.9502,8792.2002,100.65,100.66,100.213,100.25,NaN,NaN
1586317500,8688.9004,9131.7002,8653.9004,8748.75,100,100.21,99.96,100.06,NaN,NaN
1586403900,8973.0498,9128.3496,8904.5498,9111.9004,99.85,99.883,99.62,99.72,NaN,NaN
1586749500,9103.9502,9112.0498,8912.4004,8993.8496,99.85,99.85,99.65,99.68,NaN,NaN
1586922300,9196.4004,9261.2002,8874.0996,8925.2998,99.72,100.17,99.72,100.17,NaN,NaN
1587008700,8851.25,9053.75,8821.9004,8992.7998,100.02,100.16,100.02,100.07,NaN,NaN
1587095100,9323.4502,9324,9091.3496,9266.75,100.52,101.07,100.215,100.72,NaN,NaN
1587354300,9390.2002,9390.8496,9230.7998,9261.8496,101.1,101.893,101.1,101.7,NaN,NaN
1587440700,9016.9502,9044.4004,8909.4004,8981.4502,101.5,101.89,101.5,101.68,NaN,NaN
1587527100,9026.75,9209.75,8946.25,9187.2998,101.69,101.76,101.46,101.59,NaN,NaN
1587613500,9232.3496,9343.5996,9170.1504,9313.9004,101.653,103.1,101.653,102.77,NaN,NaN
1587699900,9163.9004,9296.9004,9141.2998,9154.4004,102.54,102.6,101.96,102,NaN,NaN
1587959100,9259.7002,9377.0996,9250.3496,9282.2998,101.75,102.293,101.75,102.1,NaN,NaN
1588045500,9389.7998,9404.4004,9260,9380.9004,102.01,102.45,102.01,102.21,NaN,NaN
1588131900,9408.5996,9599.8496,9392.3496,9553.3496,102.3,102.388,102.14,102.3,NaN,NaN
1588218300,9753.5,9889.0498,9731.5,9859.9004,102.18,102.4,102.18,102.4,NaN,NaN
1588563900,9533.5,9533.5,9266.9502,9293.5,102.2,102.71,102.2,102.59,NaN,NaN
1588650300,9429.4004,9450.9004,9190.75,9205.5996,102.4,102.715,102.4,102.67,NaN,NaN
1588736700,9226.7998,9346.9004,9116.5,9270.9004,102.753,102.993,102.753,102.99,NaN,NaN
1588823100,9234.0498,9277.8496,9175.9004,9199.0498,NaN,NaN,NaN,NaN,NaN,NaN
1588909500,9376.9502,9382.6504,9238.2002,9251.5,103.1,103.435,102.853,103.43,NaN,NaN
1589168700,9348.1504,9439.9004,9219.9502,9239.2002,101.51,102.07,101.4,101.99,NaN,NaN
1589255100,9168.8496,9240.8496,9043.9502,9196.5498,101.7,102.15,101.7,102.02,NaN,NaN
1589341500,9584.2002,9584.5,9351.0996,9383.5498,101.45,102.55,101.45,102.5,NaN,NaN
1589427900,9213.9502,9281.0996,9119.75,9142.75,102.61,103.24,102.61,102.78,NaN,NaN
1589514300,9182.4004,9182.4004,9050,9136.8496,102.3,102.96,102.3,102.6,NaN,NaN
1589773500,9158.2998,9158.2998,8806.75,8823.25,102.45,102.86,102.45,102.82,NaN,NaN
1589859900,8961.7002,9030.3496,8855.2998,8879.0996,102.7,102.993,102.7,102.93,NaN,NaN
1589946300,8889.1504,9093.7998,8875.3496,9066.5498,102.91,103.01,102.845,102.89,NaN,NaN
1590032700,9079.4502,9178.5498,9056.0996,9106.25,102.68,102.975,102.68,102.94,NaN,NaN
1590119100,9067.9004,9149.5996,8968.5498,9039.25,103.25,104.06,103.25,103.46,NaN,NaN
1590464700,9099.75,9161.6504,8996.6504,9029.0498,103.253,103.51,103.22,103.36,NaN,NaN
1590551100,9082.2002,9334,9004.25,9314.9502,103.17,103.425,103.17,103.29,NaN,NaN
1590637500,9364.9502,9511.25,9336.5,9490.0996,103.21,103.318,103.21,103.25,NaN,NaN
1590723900,9422.2002,9598.8496,9376.9004,9580.2998,103.25,103.333,102.98,103.08,NaN,NaN
1590983100,9726.8496,9931.5996,9706.9502,9826.1504,102.78,103.02,102.78,102.87,NaN,NaN
1591069500,9880.8496,9995.5996,9824.0498,9979.0996,102.53,103.19,102.53,103.19,NaN,NaN
1591155900,10108.3,10176.2,10035.55,10061.55,103.103,103.19,102.95,102.95,NaN,NaN
1591242300,10054.25,10123.85,9944.25,10029.1,99.62,99.94,99.62,99.94,NaN,NaN
1591328700,10093.8,10177.8,10040.75,10142.15,99.71,99.75,99.57,99.75,NaN,NaN
1591587900,10326.75,10328.5,10120.25,10167.45,99.5,99.88,99.5,99.86,NaN,NaN
1591674300,10181.15,10291.15,10021.45,10046.65,100.01,100.1,99.98,100.1,NaN,NaN
